file,selected,label
fer0000010.png,0.2500124 -0.43923825 2.0684588 -1.4196241 0.55331266 -1.6427002 0.15163386,anger
fer0000022.png,-0.2833616 -0.24231112 1.4041336 -0.8270986 -0.57231754 1.0432496 -0.94536495,anger
fer0000027.png,1.1900951 -0.22484195 0.5588521 -1.6248217 0.813589 1.2298183 -0.3610391,anger
fer0000038.png,-1.991144 -0.6219039 2.3158321 -1.3147643 -1.5660567 -0.4409256 0.42485404,anger
fer0000043.png,-0.7492745 0.9862539 1.227983 -0.46747267 -1.3883145 -0.03608799 1.4754021,anger
fer0000067.png,0.08066416 2.565457 4.5670733 -0.68883634 -0.4287666 -0.0016069412 -1.4917309,anger
fer0000075.png,1.2617202 -0.8869481 0.69767964 -2.3390453 0.36076206 -0.104893744 0.32001227,anger
fer0000106.png,0.5920236 -0.09962505 1.8758028 -0.3656582 0.59418654 0.4985156 -0.3261299,anger
fer0000116.png,-0.27100086 0.16884096 -1.7169092 -0.14237034 -1.9484 0.81436193 0.6077023,anger
fer0000119.png,-0.5659108 0.84256107 1.110866 -0.6020152 -1.522189 0.221497 0.11440849,anger
fer0000136.png,0.050332427 0.20410809 2.5572627 -2.688498 -1.4099811 -0.530192 -0.16637826,anger
fer0000146.png,-0.14632851 -0.32536986 -0.16461074 0.051686764 0.51409703 -0.22551933 0.8402178,anger
fer0000150.png,-0.9467118 1.0860633 2.0074618 -0.7614658 -1.0894121 -0.1321845 -0.47827488,anger
fer0000156.png,-1.4957057 0.54002625 1.3216186 -0.17647004 -0.5031502 -0.9115057 1.0747641,anger
fer0000178.png,-1.796196 -1.1213171 2.0162861 -0.7311237 0.06362623 0.69919205 0.63303256,anger
fer0000185.png,-1.1707253 1.906889 1.079706 -0.7126869 -0.30730075 0.85237575 0.1073069,anger
fer0000224.png,-0.50378084 1.6139917 -0.8788221 -2.0483696 -1.5900698 -1.6330054 0.35387087,anger
fer0000232.png,-1.1031841 -0.47495815 0.7379596 -2.1484737 0.1065321 -0.406327 -1.5815959,anger
fer0000241.png,-0.5523722 -1.6368542 2.739862 -0.87615615 0.85914826 -0.46080413 1.1870431,anger
fer0000244.png,0.19976616 0.14849246 -0.721135 0.027218878 -0.8784348 0.6741493 0.14658847,anger
fer0000247.png,-1.2824875 0.4507348 0.9177557 -0.11018485 -1.4237168 -1.7515565 0.45693788,anger
fer0000254.png,1.2821623 0.12802902 1.717711 -0.06077609 0.9831766 -0.48210472 -0.3101669,anger
fer0000257.png,1.2209294 0.05413127 1.7062802 0.38450372 -0.053525448 1.8789847 0.7084427,anger
fer0000269.png,-0.15763888 -1.6067141 -0.35253394 0.93909156 0.22233635 -0.44260168 1.6842107,anger
fer0000274.png,1.0170827 -0.20378292 -0.326906 -0.11638349 0.9612568 -0.34028113 0.5423759,anger
fer0000293.png,-1.2870245 0.36846197 0.5846838 -1.0317016 1.6187415 0.9220861 1.9416571,anger
fer0000294.png,-0.3118857 -0.47981602 0.55504394 -1.6979425 -0.4190206 -2.009447 -0.1265192,anger
fer0000306.png,1.4056463 0.26099026 1.0016971 -0.5810801 -0.11855626 -0.031089425 0.0073633194,anger
fer0000341.png,-1.1521838 -0.39036214 0.78677356 -2.3524122 1.2804719 0.15724325 0.70903397,anger
fer0000348.png,0.14942145 0.9435083 2.7003791 -0.69773054 0.51313794 -0.9629171 2.2797804,anger
fer0000352.png,1.1173022 1.1983659 1.888804 -1.193474 -0.14321177 -0.3057967 -0.9241828,anger
fer0000354.png,-0.58882016 -0.25374073 3.2642493 -0.41761923 -0.45517945 -0.3049469 -1.0431087,anger
fer0000364.png,-0.3408034 -0.02615717 1.9367031 0.1365478 -0.78698844 1.7965536 0.75285065,anger
fer0000368.png,-1.1950967 1.393272 0.8156437 -1.802905 -2.003817 -0.39186788 0.75665,anger
fer0000373.png,0.4078492 0.03130901 1.3826096 0.8019321 2.0329018 0.6591801 -0.91262746,anger
fer0000386.png,1.3671232 1.3138694 0.8055043 -1.4356141 -0.1133486 1.0944712 0.015226483,anger
fer0000387.png,0.5663397 0.690817 0.8302385 -0.2641105 -0.24974652 -1.7649527 0.06305468,anger
fer0000403.png,-0.34501857 0.27876812 -0.065392375 -0.07484746 1.3726537 1.2779535 -0.9082057,anger
fer0000409.png,-0.6690898 -0.098944664 -0.32005373 -0.7149948 1.8983985 0.6601575 0.64784396,anger
fer0000411.png,-0.3308797 -0.9924791 1.4871615 -0.52475286 0.074198246 -0.11104715 0.065219164,anger
fer0000433.png,0.44825533 0.38464022 1.5789471 -0.053635836 -0.5076797 1.1429875 0.8427851,anger
fer0000451.png,0.83549094 -0.8204392 1.7443762 0.25635356 0.04978156 0.77262354 0.08995694,anger
fer0000463.png,-0.7143999 0.04216242 1.4489387 -0.7832075 0.507799 -1.2497635 0.09251201,anger
fer0000469.png,-0.2328322 1.5429322 2.203308 0.37428212 -2.0677254 0.19674206 -0.09008622,anger
fer0000475.png,0.90686375 -0.32571876 2.8099422 -0.84805584 -0.28535977 -1.4133084 -2.893095,anger
fer0000478.png,-0.049139977 -0.56228554 0.023899198 2.0433764 -0.5382991 0.73517644 -1.2151942,anger
fer0000556.png,-0.054042697 1.2854826 -0.32631296 0.036061734 0.874176 1.3374127 -0.20221855,anger
fer0000561.png,-0.8745721 0.87196636 -0.7057833 -1.4049032 0.19045436 -0.005990982 0.11345143,anger
fer0000562.png,-1.3182876 0.5010134 1.4409975 -0.7336284 0.44573402 -1.0927683 -0.81927943,anger
fer0000591.png,1.2001327 -0.06930792 -0.10750961 -3.2255754 -0.23170593 0.8367783 -0.8683102,anger
fer0000595.png,-0.09051597 -0.38635343 1.3198545 0.8360009 -0.07799375 0.09340507 0.295146,anger
